City,Type,Beds,Baths,SquareFeet,Price
SACRAMENTO,Residential,3,2,1638,236298.63
SACRAMENTO,Residential,3,2,1328,187600.46
ELK GROVE,Residential,3,2,1273,197347.45
SACRAMENTO,Residential,3,1,1082,159535.65
SACRAMENTO,Residential,4,2,1578,218465.53
ROSEVILLE,Residential,2,1,796,185440.75
SACRAMENTO,Residential,3,2,1386,192882.42
RANCHO CORDOVA,Residential,3,2,1452,198760.85
SACRAMENTO,Residential,3,2,1513,213965.09
SACRAMENTO,Residential,4,2,1578,217622.53
CITRUS HEIGHTS,Residential,4,3,1736,252915.5
SACRAMENTO,Residential,3,1,1473,213627.36
SACRAMENTO,Residential,3,1,1150,163177.3
SACRAMENTO,Residential,3,2,1127,156997.73
FAIR OAKS,Residential,3,1,1144,248249.89
CARMICHAEL,Residential,3,1,972,228384.16
ELK GROVE,Residential,4,2,2306,324208
ANTELOPE,Residential,3,2,1479,208202.44
EL DORADO,Residential,2,1,1040,229832.06
SACRAMENTO,Residential,3,2,1430,199843.42
SACRAMENTO,Residential,4,2,1800,248465.69
ANTELOPE,Residential,4,2,1953,262796.81
SACRAMENTO,Residential,3,2,1120,162310.25
SACRAMENTO,Residential,3,2,1232,174471.9
SACRAMENTO,Condo,1,1,984,153542.96
ELK GROVE,Residential,4,2,2329,326490.57
ELK GROVE,Residential,3,2,1351,214644.78
ROSEVILLE,Residential,4,1,1376,255350.36
DIAMOND SPRINGS,Residential,3,2,1300,232479
SACRAMENTO,Residential,4,2,1566,225222.71
SACRAMENTO,Residential,2,1,1115,173557.91
SACRAMENTO,Residential,2,1,1032,154618.24
CITRUS HEIGHTS,Residential,4,2,1419,204050.85
ELK GROVE,Residential,3,2,1261,188421.63
CARMICHAEL,Residential,2,2,1637,316210.58
SACRAMENTO,Multi-Family,4,2,1776,239482.05
ELK GROVE,Residential,3,2,1338,211188.89
ELK GROVE,Residential,5,2,2254,305990.45
SACRAMENTO,Residential,3,2,1441,195194.17
SACRAMENTO,Residential,4,2,1991,268837.73
SACRAMENTO,Residential,4,3,2126,295055.95
ELK GROVE,Residential,3,2,1094,182825.22
ROCKLIN,Residential,3,2,1462,290932.33
SACRAMENTO,Residential,5,3,2258,300890.97
RANCHO CORDOVA,Residential,3,2,1074,162847.03
ELK GROVE,Residential,4,2,2111,295599.68
SACRAMENTO,Residential,3,2,1686,233030.9
ANTELOPE,Residential,4,3,1915,260289.21
ELK GROVE,Residential,4,2,2367,320338.16
SACRAMENTO,Residential,3,2,1962,259335.75
RANCHO CORDOVA,Residential,2,2,1406,197204.71
SACRAMENTO,Residential,3,2,1789,253137.94
SACRAMENTO,Residential,4,2,1876,248168.88
ANTELOPE,Residential,3,2,1235,184972.77
ANTELOPE,Residential,4,2,2504,344164.44
CARMICHAEL,Residential,3,2,1676,320374.24
CITRUS HEIGHTS,Residential,3,2,1367,194106.3
ELK GROVE,Residential,4,3,1899,264656.2
ELK GROVE,Residential,3,2,1636,246123.24
SACRAMENTO,Residential,3,2,1828,254974.6
SACRAMENTO,Residential,4,2,1438,204225.97
ELK GROVE,Residential,3,2,1451,225614.61
SACRAMENTO,Residential,3,1,1520,212866.57
ROSEVILLE,Residential,3,2,1506,271590.24
SACRAMENTO,Residential,4,2,2605,348456.67
ORANGEVALE,Residential,3,2,1196,242816.45
LINCOLN,Residential,3,2,1621,274101.66
SACRAMENTO,Residential,3,2,1811,253891.44
ELK GROVE,Residential,3,2,1540,235354.68
ELK GROVE,Residential,3,2,1543,234381.89
SACRAMENTO,Residential,5,3,2494,321284.09
LINCOLN,Residential,3,2,1650,284241.64
GALT,Residential,4,3,2214,308597.78
SACRAMENTO,Residential,5,3,2280,308437.47
CARMICHAEL,Residential,3,2,1443,287710.33
CITRUS HEIGHTS,Residential,4,2,1582,237507.98
ELK GROVE,Residential,3,2,1857,264435.33
ELK GROVE,Residential,3,2,1735,248902
ELK GROVE,Residential,4,3,2096,287858.66
SACRAMENTO,Residential,3,2,1720,232978.23
ANTELOPE,Residential,4,2,2160,297955.95
SACRAMENTO,Residential,4,2,1382,196861.14
ELK GROVE,Residential,4,2,1721,254848.05
LOOMIS,Residential,4,2,1328,563850.89
ELK GROVE,Residential,4,2,1982,277926.87
SACRAMENTO,Residential,2,1,1144,164377.89
SACRAMENTO,Residential,2,2,1623,216704.6
COOL,Residential,3,2,1457,308995
ELK GROVE,Residential,6,3,2555,354064
ROCKLIN,Residential,3,2,1577,304323.19
ELK GROVE,Residential,5,3,2592,348199.53
CITRUS HEIGHTS,Residential,3,2,1401,201855.62
CARMICHAEL,Residential,3,2,1502,290235.36
FOLSOM,Residential,3,2,1327,324650.22
ROSEVILLE,Residential,4,3,1800,304972.32
SACRAMENTO,Residential,4,2,2169,299516.89
LINCOLN,Residential,5,3,2457,370172.75
ORANGEVALE,Residential,4,2,2004,330948.63
ROSEVILLE,Residential,4,3,2212,364808.45
ANTELOPE,Residential,5,3,3134,419609.46
SACRAMENTO,Residential,3,2,1360,203577.64
SACRAMENTO,Residential,3,2,1276,189067.9
SACRAMENTO,Residential,4,3,2962,392234.05
ROCKLIN,Residential,4,2,1888,356600.43
GALT,Residential,3,2,1548,238774.29
RANCHO CORDOVA,Residential,4,3,2109,275594.72
SACRAMENTO,Residential,4,2,2484,326785.4
SACRAMENTO,Residential,4,3,2258,301054.97
SACRAMENTO,Residential,3,3,2212,301054.83
ORANGEVALE,Residential,3,2,1616,280179.13
SACRAMENTO,Residential,4,2,2372,315948.75
ROCKLIN,Residential,5,3,2606,432972.46
ELK GROVE,Residential,5,3,2877,397738.99
ANTELOPE,Residential,3,2,2960,392094.58
ROSEVILLE,Residential,3,2,2172,354286.72
ROSEVILLE,Condo,3,2,2100,338518.8
SACRAMENTO,Residential,3,2,1795,244591.35
ROSEVILLE,Residential,4,2,2295,368373.12
ROSEVILLE,Residential,4,3,2577,399568.38
WALNUT GROVE,Residential,3,1,1727,381259
ELK GROVE,Residential,3,2,1485,225452.93
CARMICHAEL,Residential,3,2,1655,311288.81
ROSEVILLE,Residential,3,2,2049,329773.32
ELK GROVE,Residential,5,3,2875,380563.86
EL DORADO HILLS,Residential,4,2,2199,351671.29
SACRAMENTO,Residential,2,1,1304,187360.82
CARMICHAEL,Residential,3,2,2334,395720.18
AUBURN,Residential,4,3,2278,433257.96
SACRAMENTO,Residential,3,1,1493,208605.72
FOLSOM,Residential,5,3,2787,485354.93
SACRAMENTO,Residential,5,3,2824,367504.62
FOLSOM,Residential,4,3,3261,551098.3
SACRAMENTO,Residential,4,2,2053,270687.97
ROSEVILLE,Residential,4,3,2379,369562.86
FAIR OAKS,Residential,3,2,3173,495889.46
SACRAMENTO,Residential,3,1,1348,185333.82
SACRAMENTO,Residential,2,1,1252,188825.26
FOLSOM,Residential,4,3,3229,539282.11
SACRAMENTO,Residential,5,4,3863,498193.58
GRANITE BAY,Residential,4,3,2356,605613.13
ROSEVILLE,Residential,5,3,3579,518600.81
WILTON,Residential,4,3,4400,752501.05
SLOUGHHOUSE,Residential,3,4,5822,11985
SACRAMENTO,Residential,4,2,1512,206159.02
SACRAMENTO,Condo,1,1,611,114568.49
SACRAMENTO,Residential,2,1,876,131102.59
SACRAMENTO,Condo,2,1,933,135152.48
SACRAMENTO,Residential,2,1,864,141027.77
SACRAMENTO,Residential,2,1,1011,148487.81
SACRAMENTO,Residential,4,2,1158,167178.85
SACRAMENTO,Residential,3,2,1092,162007.34
SACRAMENTO,Condo,2,1,956,149009.05
SACRAMENTO,Residential,2,2,1139,173083.55
SACRAMENTO,Residential,3,1,1058,159297.02
SACRAMENTO,Residential,3,2,1040,162482.79
SACRAMENTO,Residential,3,2,1354,197752.23
NORTH HIGHLANDS,Residential,3,1,1051,143086.88
SACRAMENTO,Condo,1,1,682,106712.34
SACRAMENTO,Residential,3,1,1161,164113.05
SACRAMENTO,Residential,3,1,1004,147627.33
NORTH HIGHLANDS,Residential,3,1,1229,160459.04
SACRAMENTO,Residential,3,2,1249,182568.06
SACRAMENTO,Residential,3,2,1161,180395.05
SACRAMENTO,Residential,3,1,1010,147934.74
SACRAMENTO,Residential,4,2,1462,213812.61
SACRAMENTO,Residential,3,2,1269,186332.43
SACRAMENTO,Residential,2,2,1188,165072.89
SACRAMENTO,Residential,4,2,1570,215713.98
SACRAMENTO,Residential,3,2,1093,160449.41
SACRAMENTO,Residential,3,1,962,154728.46
SACRAMENTO,Residential,3,2,1089,168827.13
SACRAMENTO,Residential,3,2,1127,175125.73
SACRAMENTO,Residential,4,2,1309,181169.16
RIO LINDA,Residential,2,1,970,163097.46
SACRAMENTO,Residential,3,2,1144,160566.89
RANCHO CORDOVA,Residential,3,1,1000,148915.98
ANTELOPE,Residential,3,2,1206,172537.79
SACRAMENTO,Residential,3,1,1285,186518.52
SACRAMENTO,Residential,3,2,1543,224242.14
WEST SACRAMENTO,Residential,2,1,884,149635
SACRAMENTO,Residential,3,1,1019,147017.35
SACRAMENTO,Residential,4,2,1392,203516.83
SACRAMENTO,Condo,2,1,924,139964.86
SACRAMENTO,Residential,3,2,1217,187298.87
ANTELOPE,Residential,3,2,1670,228127.48
SACRAMENTO,Residential,3,2,1302,182075.68
SACRAMENTO,Residential,3,2,1488,218969.38
NORTH HIGHLANDS,Residential,3,2,1373,168907.87
CITRUS HEIGHTS,Residential,4,2,1381,215232.25
SACRAMENTO,Residential,3,2,1265,174398.15
SACRAMENTO,Residential,2,1,881,130841.93
SACRAMENTO,Residential,4,2,1608,217609.58
CITRUS HEIGHTS,Residential,3,1,1344,191483.73
SACRAMENTO,Residential,3,2,1202,184324.85
LINCOLN,Residential,3,2,1104,213935.35
SACRAMENTO,Multi-Family,4,2,1859,252104.72
SACRAMENTO,Residential,3,2,1232,175734.9
SACRAMENTO,Residential,3,1,1638,222906.63
SACRAMENTO,Residential,2,2,1177,171446.14
SACRAMENTO,Residential,3,2,1582,215704.8
SACRAMENTO,Residential,2,2,904,145487.5
ELK GROVE,Residential,3,2,1340,205758.03
SACRAMENTO,Residential,3,2,1204,185779.99
ELK GROVE,Residential,4,2,1477,225223.38
SACRAMENTO,Residential,4,2,1497,213763
FAIR OAKS,Residential,3,1,960,230441.32
SACRAMENTO,Residential,3,2,1428,202255.28
SACRAMENTO,Residential,3,1,1039,164028.72
FAIR OAKS,Residential,3,1,1529,302467.18
CITRUS HEIGHTS,Residential,4,3,1892,263107.15
SACRAMENTO,Residential,4,2,1887,248662.63
ORANGEVALE,Residential,3,2,1294,243917.14
SACRAMENTO,Residential,3,2,1638,236047.63
SACRAMENTO,Residential,3,2,1677,234503.29
CITRUS HEIGHTS,Residential,3,1,1073,170266.22
SACRAMENTO,Residential,3,2,1231,174434.83
ELK GROVE,Residential,3,2,1175,179383.76
ELK GROVE,Residential,3,2,1416,218258.22
SACRAMENTO,Residential,3,2,1358,200468.5
ELK GROVE,Residential,4,2,1609,242428.4
SACRAMENTO,Residential,4,3,1968,262998.16
SACRAMENTO,Residential,2,2,1089,156256.13
CARMICHAEL,Residential,3,2,1296,270696.29
ELK GROVE,Residential,2,2,1189,190006.71
SACRAMENTO,Residential,2,1,795,131409.05
ROSEVILLE,Residential,3,2,1371,253925.02
NORTH HIGHLANDS,Residential,3,1,1310,157684.57
GALT,Residential,3,2,1262,199376.76
ELK GROVE,Residential,4,2,1740,252719.34
ANTELOPE,Residential,3,2,1517,227568.03
SACRAMENTO,Residential,3,2,1450,206439.79
ELK GROVE,Residential,3,2,1416,208728.22
SACRAMENTO,Residential,3,1,888,138945.41
CITRUS HEIGHTS,Residential,3,2,1882,260655.47
ELK GROVE,Residential,3,2,1302,208914.43
ELK GROVE,Residential,3,2,1418,220196.35
CARMICHAEL,Residential,4,2,1319,273194.86
GALT,Residential,4,2,1770,253981.45
SACRAMENTO,Residential,4,2,1627,232019.88
SACRAMENTO,Residential,3,1,1040,155426.79
NORTH HIGHLANDS,Residential,3,1,960,121798.67
ORANGEVALE,Residential,3,1,1456,268950.2
ELK GROVE,Residential,3,2,1450,220557.54
LINCOLN,Residential,3,2,1358,250790.7
SACRAMENTO,Residential,4,2,1329,195297.52
SACRAMENTO,Residential,4,2,1715,242424.89
ELK GROVE,Residential,3,2,1262,190125.7
SACRAMENTO,Residential,4,3,2280,308248.47
SACRAMENTO,Residential,3,2,1477,212857.63
CITRUS HEIGHTS,Residential,3,2,1216,181746.98
ELK GROVE,Residential,4,2,1685,245385.59
EL DORADO HILLS,Residential,3,2,1362,263355.13
